state,x,y
Jammu Kashmir,-120,266
Himachal Pradesh,-105,209
Punjab,-130,184
Uttarkhand,-55,160
Haryana,-115,143
Delhi,-91,131
Uttar Pradesh,-40,85
Rajasthan,-173,85
Bihar,82,61
West Bengal,110,1
Jharkhand,66,11
Sikkim,144,104
Assam,227,77
Arunachal Pradesh,270,126
Nagaland,267,73
Manipur,252,41
Mizoram,231,8
Tripura,205,19
Meghalaya,196,59
Gujarat,-208,0
Madhya Pradesh,-85,7
Chhattisgarh,5,-35
Orrisa,60,-54
Maharastra,-145,-83
Andhra Pradesh,-75,-172
Telugana,-64,-114
Goa,-152,-167
Karnataga,-145,-188
Kerala,-110,-278
Tamil Nadu,-89,-261
Pondicherry,-38,-238
Lakshadweep,-186,-281
Andaman Nicobar Island,224,-268
